iter	RMSE
0	0.9664772025
1	0.9452973088
2	0.919471082
3	0.9011712159
4	0.8818059384
5	0.8646224632
6	0.8466136409
7	0.8333065939
8	0.8186389393
9	0.8110259132
10	0.8000344329
11	0.7874702419
12	0.78341668
13	0.7751362805
14	0.7670753251
15	0.7591125527
16	0.7506995918
17	0.7412967016
18	0.7361940574
19	0.7289622713
20	0.7244526761
21	0.7164676352
22	0.7123280108
23	0.7040242453
24	0.6974481254
25	0.6967731227
26	0.6943411117
27	0.688457683
28	0.6858215477
29	0.6790962965
30	0.6746655447
31	0.6696402756
32	0.6678398362
33	0.666134827
34	0.6611813649
35	0.6579801202
36	0.6556011985
37	0.6504282186
38	0.6460105201
39	0.6429284184
40	0.6407185392
41	0.6353929258
42	0.6322638363
43	0.630092014
44	0.6275269246
45	0.6243519776
46	0.6211599214
47	0.6189910507
48	0.6168635351
49	0.6164929869
50	0.615287532
51	0.610781426
52	0.6065251484
53	0.604689759
54	0.6023691467
55	0.5988924022
56	0.5957309555
57	0.5928088663
58	0.590372804
59	0.5860591873
60	0.5820022343
61	0.5781634113
62	0.5746641818
63	0.5729716034
64	0.5703902938
65	0.5685715394
66	0.5667252758
67	0.5639924374
68	0.5594674705
69	0.5568908505
70	0.5537101311
71	0.5498768063
72	0.5475493799
73	0.5438877249
74	0.5418600203
75	0.5381662585
76	0.535374624
77	0.5330657366
78	0.5317220356
79	0.5293106569
80	0.5271655511
81	0.5246062459
82	0.5217917608
83	0.5185984037
84	0.5162144571
85	0.5131435894
86	0.5115684155
87	0.508079212
88	0.5068687082
89	0.5048798445
90	0.5030088867
91	0.5004632136
92	0.4982063343
93	0.4948247379
94	0.4924321055
95	0.4905784776
96	0.4877967697
97	0.4872121046
98	0.485745947
99	0.4835358207
100	0.4813107656
101	0.4775327706
102	0.4755658204
103	0.4722921464
104	0.4702002576
105	0.4688721011
106	0.4665180898
107	0.4646423834
108	0.4617464145
109	0.4597367886
110	0.4569597537
111	0.4541875969
112	0.4514151809
113	0.4494905901
114	0.4472857026
115	0.4457322163
116	0.4435289444
117	0.441480198
118	0.4393623146
119	0.438318053
120	0.436482614
121	0.4356649154
122	0.4348397146
123	0.4327599366
124	0.4319340002
125	0.4304479004
126	0.4293895511
127	0.4283263834
128	0.4265459237
129	0.4246785399
130	0.4234600192
131	0.4218552474
132	0.4204783077
133	0.4185852363
134	0.4184010756
135	0.417284902
136	0.4163521191
137	0.4146971737
138	0.4144562823
139	0.41160661
140	0.4110941499
141	0.4100474467
142	0.4084623949
143	0.4080887934
144	0.4064815842
145	0.4040506406
146	0.4031858755
147	0.4022417262
148	0.3995670523
149	0.3988853192
150	0.3971608156
151	0.3958861465
152	0.3947682367
153	0.3925731223
154	0.3920075946
155	0.3914083372
156	0.3885324143
157	0.3869392948
158	0.3856866231
159	0.3844280324
160	0.3829288254
161	0.3808765777
162	0.379366146
163	0.3783802166
164	0.3767772339
165	0.3743108507
166	0.3728812005
167	0.3716802948
168	0.3705053601
169	0.3693520071
170	0.3680537198
171	0.3671422621
172	0.3653012223
173	0.3647417595
174	0.3637453813
175	0.3626549801
176	0.3618957391
177	0.3604260905
178	0.3584611542
179	0.3569048089
180	0.355559849
181	0.3538997541
182	0.3517200176
183	0.350817981
184	0.3495583453
185	0.3485330331
186	0.3479586028
187	0.3460547691
188	0.3453404866
189	0.3439904552
190	0.3435198791
191	0.3430083145
192	0.342216175
193	0.3417185677
194	0.3406880245
195	0.3402712154
196	0.3392372938
197	0.3376714123
198	0.336267276
199	0.3359072352
200	0.335518895
201	0.3339771293
202	0.3329752658
203	0.3328187503
204	0.3316740241
205	0.3315302219
206	0.3307560728
207	0.3289828898
208	0.3285595261
209	0.3278356867
210	0.3264798766
211	0.3257691688
212	0.3234949387
213	0.3221043486
214	0.321112006
215	0.3197713601
216	0.3193387388
217	0.3186387875
218	0.3180689855
219	0.3171532427
220	0.3167765901
221	0.3160782956
222	0.315269419
223	0.3150586152
224	0.3145958336
225	0.3145155658
226	0.3141113344
227	0.3120902361
228	0.3105616785
229	0.3097059694
230	0.3083710916
231	0.3080843085
232	0.3062776238
233	0.3052790406
234	0.3035551809
235	0.3027316
236	0.3021051134
237	0.301253952
238	0.3011325156
239	0.3004574325
240	0.2990102005
241	0.2984599325
242	0.2969159486
243	0.2964858153
244	0.2949596933
245	0.2944136317
246	0.2929239242
247	0.2924152621
248	0.2914733093
249	0.2899161556
250	0.2893762639
251	0.2890051139
252	0.2884740322
253	0.2883132405
254	0.2869984203
255	0.2863584304
256	0.2856482158
257	0.2849517296
258	0.284754493
259	0.2838816795
260	0.2826679009
261	0.2814837959
262	0.280655504
263	0.2799829345
264	0.2790556067
265	0.2779240706
266	0.2773475602
267	0.2764206372
268	0.2756790038
269	0.2745762281
270	0.2741693261
271	0.2736271938
272	0.2728787953
273	0.2720285021
274	0.2709868934
275	0.26940076
276	0.26829894
277	0.2675745529
278	0.2670679069
279	0.266562873
280	0.2655188215
281	0.2648348423
282	0.2642385811
283	0.2631548466
284	0.262758316
285	0.2624603656
286	0.2615138443
287	0.2601633839
288	0.2594640984
289	0.2588893439
290	0.258233036
291	0.2580325225
292	0.25764372
293	0.2567584287
294	0.2555557286
295	0.2544417583
296	0.253659021
297	0.2528479023
298	0.2525705604
299	0.2525026956
