iter	Passed	Remaining
0	1	500
1	3	488
2	5	509
3	7	543
4	9	562
5	11	560
6	13	552
7	14	543
8	16	536
9	17	497
10	19	520
11	22	528
12	22	495
13	23	484
14	24	471
15	26	462
16	27	450
17	28	448
18	29	433
19	30	424
20	31	423
21	32	416
22	33	408
23	35	403
24	37	410
25	37	395
26	38	385
27	39	380
28	40	378
29	42	378
30	43	377
31	44	376
32	45	367
33	46	359
34	47	357
35	48	356
36	49	353
37	51	354
38	53	355
39	54	353
40	55	353
41	57	353
42	58	350
43	59	345
44	60	344
45	62	344
46	63	344
47	65	342
48	65	337
49	66	330
50	67	328
51	68	326
52	70	326
53	71	324
54	72	321
55	73	319
56	74	317
57	76	317
58	77	316
59	78	314
60	79	312
61	80	310
62	82	311
63	84	310
64	85	309
65	86	307
66	89	310
67	90	309
68	91	307
69	92	305
70	94	303
71	98	311
72	99	310
73	101	311
74	103	310
75	104	309
76	106	307
77	107	305
78	108	303
79	109	302
80	111	300
81	112	298
82	113	296
83	114	295
84	117	296
85	118	294
86	119	293
87	120	291
88	122	290
89	123	288
90	124	286
91	126	284
92	127	282
93	128	281
94	129	280
95	130	278
96	132	276
97	133	274
98	136	276
99	137	275
100	138	273
101	140	272
102	141	271
103	143	270
104	144	268
105	146	267
106	147	266
107	149	265
108	150	263
109	152	262
110	153	260
111	154	259
112	156	258
113	157	257
114	158	255
115	160	254
116	162	253
117	163	252
118	165	252
119	167	250
120	168	249
121	169	247
122	171	246
123	172	244
124	173	243
125	175	242
126	177	241
127	178	239
128	179	238
129	181	236
130	182	235
131	184	234
132	185	232
133	188	233
134	189	231
135	191	230
136	192	228
137	193	227
138	195	226
139	197	225
140	198	223
141	200	222
142	202	221
143	203	220
144	205	219
145	206	217
146	208	216
147	210	215
148	211	214
149	213	213
150	214	211
151	216	210
152	217	209
153	219	207
154	220	206
155	221	204
156	223	203
157	224	201
158	226	200
159	227	198
160	229	197
161	230	196
162	232	195
163	233	193
164	236	193
165	237	191
166	238	190
167	240	188
168	241	186
169	243	186
170	244	184
171	245	182
172	246	181
173	247	179
174	249	177
175	250	176
176	251	174
177	252	173
178	254	172
179	255	170
180	257	169
181	258	167
182	259	166
183	261	165
184	263	163
185	264	162
186	266	160
187	267	159
188	268	157
189	270	156
190	271	155
191	272	153
192	274	152
193	275	150
194	277	149
195	278	148
196	280	146
197	281	145
198	283	143
199	284	142
200	285	140
201	287	139
202	288	137
203	289	136
204	291	135
205	293	133
206	294	132
207	296	131
208	297	129
209	298	128
210	300	126
211	301	125
212	303	123
213	304	122
214	305	120
215	307	119
216	309	118
217	310	116
218	311	115
219	313	113
220	315	112
221	316	111
222	318	109
223	319	108
224	320	106
225	321	105
226	323	103
227	324	102
228	325	101
229	327	99
230	329	98
231	330	96
232	331	95
233	332	93
234	333	92
235	336	91
236	337	89
237	338	88
238	340	86
239	341	85
240	343	83
241	344	82
242	345	81
243	346	79
244	348	78
245	349	76
246	350	75
247	351	73
248	353	72
249	354	70
250	355	69
251	357	68
252	358	66
253	359	65
254	360	63
255	362	62
256	364	60
257	365	59
258	366	58
259	368	56
260	370	55
261	372	53
262	373	52
263	374	51
264	381	50
265	383	49
266	384	47
267	385	46
268	387	44
269	388	43
270	390	41
271	391	40
272	393	38
273	394	37
274	395	35
275	397	34
276	398	33
277	399	31
278	400	30
279	403	28
280	404	27
281	406	25
282	407	24
283	409	23
284	410	21
285	411	20
286	413	18
287	415	17
288	417	15
289	418	14
290	419	12
291	420	11
292	422	10
293	424	8
294	425	7
295	426	5
296	427	4
297	430	2
298	431	1
299	432	0
