value,date
332.0,2022-01-01
1011.0,2022-01-02
1102.0,2022-01-03
1065.0,2022-01-04
819.0,2022-01-05
721.0,2022-01-06
759.0,2022-01-07
878.0,2022-01-08
598.0,2022-01-09
154.0,2022-01-10
134.0,2022-01-11
158.0,2022-01-12
132.0,2022-01-13
200.0,2022-01-14
643.0,2022-01-15
620.0,2022-01-16
136.0,2022-01-17
136.0,2022-01-18
153.0,2022-01-19
178.0,2022-01-20
167.0,2022-01-21
597.0,2022-01-22
507.0,2022-01-23
155.0,2022-01-24
145.0,2022-01-25
125.0,2022-01-26
130.0,2022-01-27
172.0,2022-01-28
574.0,2022-01-29
499.0,2022-01-30
156.0,2022-01-31
123.0,2022-02-01
131.0,2022-02-02
154.0,2022-02-03
170.0,2022-02-04
682.0,2022-02-05
576.0,2022-02-06
113.0,2022-02-07
147.0,2022-02-08
189.0,2022-02-09
152.0,2022-02-10
265.0,2022-02-11
866.0,2022-02-12
711.0,2022-02-13
176.0,2022-02-14
172.0,2022-02-15
226.0,2022-02-16
193.0,2022-02-17
254.0,2022-02-18
832.0,2022-02-19
885.0,2022-02-20
204.0,2022-02-21
259.0,2022-02-22
799.0,2022-02-23
167.0,2022-02-24
219.0,2022-02-25
738.0,2022-02-26
811.0,2022-02-27
180.0,2022-02-28
204.0,2022-03-01
279.0,2022-03-02
349.0,2022-03-03
355.0,2022-03-04
480.0,2022-03-05
1426.0,2022-03-06
1258.0,2022-03-07
802.0,2022-03-08
281.0,2022-03-09
239.0,2022-03-10
330.0,2022-03-11
960.0,2022-03-12
889.0,2022-03-13
180.0,2022-03-14
213.0,2022-03-15
207.0,2022-03-16
228.0,2022-03-17
192.0,2022-03-18
963.0,2022-03-19
918.0,2022-03-20
217.0,2022-03-21
245.0,2022-03-22
226.0,2022-03-23
184.0,2022-03-24
213.0,2022-03-25
622.0,2022-03-26
444.0,2022-03-27
66.0,2022-03-28
122.0,2022-03-29
162.0,2022-03-30
132.0,2022-03-31
158.0,2022-04-01
342.0,2022-04-02
444.0,2022-04-03
154.0,2022-04-04
154.0,2022-04-05
130.0,2022-04-06
146.0,2022-04-07
232.0,2022-04-08
895.0,2022-04-09
796.0,2022-04-10
130.0,2022-04-11
132.0,2022-04-12
151.0,2022-04-13
362.0,2022-04-14
252.0,2022-04-15
833.0,2022-04-16
811.0,2022-04-17
183.0,2022-04-18
200.0,2022-04-19
253.0,2022-04-20
150.0,2022-04-21
224.0,2022-04-22
693.0,2022-04-23
681.0,2022-04-24
213.0,2022-04-25
222.0,2022-04-26
231.0,2022-04-27
243.0,2022-04-28
188.0,2022-04-29
621.0,2022-04-30
