date,value
2022-01-01,611.0
2022-01-02,1858.5
2022-01-03,1821.5
2022-01-04,1820.5
2022-01-05,1698.0
2022-01-06,1088.5
2022-01-07,1438.0
2022-01-08,1463.5
2022-01-09,1302.0
2022-01-10,555.0
2022-01-11,604.0
2022-01-12,693.0
2022-01-13,653.5
2022-01-14,723.0
2022-01-15,1429.0
2022-01-16,1485.5
2022-01-17,582.0
2022-01-18,531.0
2022-01-19,725.0
2022-01-20,679.0
2022-01-21,757.0
2022-01-22,976.0
2022-01-23,780.0
2022-01-24,496.0
2022-01-25,566.5
2022-01-26,556.5
2022-01-27,633.5
2022-01-28,676.0
2022-01-29,1244.0
2022-01-30,1351.0
2022-01-31,507.0
2022-02-01,549.5
2022-02-02,532.5
2022-02-03,616.0
2022-02-04,559.5
2022-02-05,1232.0
2022-02-06,1002.5
2022-02-07,477.0
2022-02-08,501.5
2022-02-09,532.0
2022-02-10,598.5
2022-02-11,661.5
2022-02-12,1257.5
2022-02-13,1294.0
2022-02-14,520.0
2022-02-15,636.0
2022-02-16,616.5
2022-02-17,589.0
2022-02-18,730.5
2022-02-19,1535.0
2022-02-20,1647.0
2022-02-21,713.0
2022-02-22,812.0
2022-02-23,1301.5
2022-02-24,584.0
2022-02-25,689.5
2022-02-26,1315.5
2022-02-27,1301.0
2022-02-28,608.5
2022-03-01,518.0
2022-03-02,644.5
2022-03-03,825.5
2022-03-04,751.0
2022-03-05,892.5
2022-03-06,1448.5
2022-03-07,1201.5
2022-03-08,1022.0
2022-03-09,489.5
2022-03-10,571.0
2022-03-11,471.0
2022-03-12,828.5
2022-03-13,942.5
2022-03-14,450.5
2022-03-15,568.0
2022-03-16,510.0
2022-03-17,399.0
2022-03-18,517.0
2022-03-19,921.0
2022-03-20,1077.5
2022-03-21,555.0
2022-03-22,594.5
2022-03-23,554.5
2022-03-24,544.0
2022-03-25,684.0
2022-03-26,1185.5
2022-03-27,1177.5
2022-03-28,597.5
2022-03-29,628.5
2022-03-30,652.5
2022-03-31,717.5
2022-04-01,741.0
2022-04-02,1213.5
2022-04-03,1487.0
2022-04-04,604.5
2022-04-05,559.5
2022-04-06,712.0
2022-04-07,796.0
2022-04-08,881.5
2022-04-09,1410.5
2022-04-10,1419.0
2022-04-11,542.5
2022-04-12,597.0
2022-04-13,668.5
2022-04-14,653.0
2022-04-15,728.5
2022-04-16,1296.0
2022-04-17,1345.5
2022-04-18,695.0
2022-04-19,657.0
2022-04-20,599.0
2022-04-21,544.0
2022-04-22,590.0
2022-04-23,873.5
2022-04-24,989.0
2022-04-25,712.0
2022-04-26,666.5
2022-04-27,705.0
2022-04-28,772.0
2022-04-29,744.5
2022-04-30,1025.5
